"Date & Time (Winter)","Attribute Name","Zefat Har Kenaan"
"28/12/2024 15:20","Rainfall (mm)","0.6"
"29/12/2024 20:40","Rainfall (mm)","0.6"
"29/12/2024 22:00","Rainfall (mm)","0.6"
"29/12/2024 22:50","Rainfall (mm)","0.6"
"29/12/2024 23:00","Rainfall (mm)","0.6"
"29/12/2024 23:10","Rainfall (mm)","0.6"
"30/12/2024 04:30","Rainfall (mm)","0.6"
"30/12/2024 14:00","Rainfall (mm)","0.6"
"30/12/2024 19:00","Rainfall (mm)","0.6"
"31/12/2024 02:10","Rainfall (mm)","0.6"
"31/12/2024 06:20","Rainfall (mm)","0.6"
"05/02/2025 10:00","Rainfall (mm)","0.6"
"05/02/2025 18:40","Rainfall (mm)","0.6"
"06/02/2025 00:30","Rainfall (mm)","0.6"
"06/02/2025 00:50","Rainfall (mm)","0.6"
"06/02/2025 01:40","Rainfall (mm)","0.6"
"06/02/2025 02:00","Rainfall (mm)","0.6"
"06/02/2025 09:20","Rainfall (mm)","0.6"
"19/03/2025 18:30","Rainfall (mm)","0.6"
"20/03/2025 10:20","Rainfall (mm)","0.6"
"20/03/2025 13:30","Rainfall (mm)","0.6"
"21/03/2025 00:30","Rainfall (mm)","0.6"
"14/04/2025 19:40","Rainfall (mm)","0.6"
"01/11/2024 03:20","Rainfall (mm)","0.5"
"18/11/2024 06:00","Rainfall (mm)","0.5"
"18/11/2024 18:50","Rainfall (mm)","0.5"
"18/11/2024 19:50","Rainfall (mm)","0.5"
"18/11/2024 21:50","Rainfall (mm)","0.5"
"20/11/2024 16:10","Rainfall (mm)","0.5"
"24/11/2024 08:10","Rainfall (mm)","0.5"
"24/11/2024 09:20","Rainfall (mm)","0.5"
"25/11/2024 01:10","Rainfall (mm)","0.5"
"26/11/2024 01:50","Rainfall (mm)","0.5"
"22/12/2024 13:20","Rainfall (mm)","0.5"
"23/12/2024 20:20","Rainfall (mm)","0.5"
"27/12/2024 14:10","Rainfall (mm)","0.5"
"28/12/2024 03:40","Rainfall (mm)","0.5"
"28/12/2024 03:50","Rainfall (mm)","0.5"
"28/12/2024 04:20","Rainfall (mm)","0.5"
"28/12/2024 07:00","Rainfall (mm)","0.5"
"28/12/2024 14:30","Rainfall (mm)","0.5"
"29/12/2024 17:30","Rainfall (mm)","0.5"
"30/12/2024 03:40","Rainfall (mm)","0.5"
"30/12/2024 18:10","Rainfall (mm)","0.5"
"30/12/2024 19:50","Rainfall (mm)","0.5"
"31/12/2024 02:00","Rainfall (mm)","0.5"
"31/01/2025 20:20","Rainfall (mm)","0.5"
"05/02/2025 09:40","Rainfall (mm)","0.5"
"05/02/2025 10:10","Rainfall (mm)","0.5"
"05/02/2025 17:40","Rainfall (mm)","0.5"
"05/02/2025 18:00","Rainfall (mm)","0.5"
"12/02/2025 14:40","Rainfall (mm)","0.5"
"12/02/2025 16:30","Rainfall (mm)","0.5"
"12/02/2025 20:30","Rainfall (mm)","0.5"
"12/02/2025 22:30","Rainfall (mm)","0.5"
"13/02/2025 00:50","Rainfall (mm)","0.5"
"20/02/2025 07:00","Rainfall (mm)","0.5"
"20/02/2025 21:10","Rainfall (mm)","0.5"
"07/03/2025 09:30","Rainfall (mm)","0.5"
"07/03/2025 10:00","Rainfall (mm)","0.5"
"20/03/2025 06:50","Rainfall (mm)","0.5"
"12/04/2025 02:00","Rainfall (mm)","0.5"
"14/04/2025 20:20","Rainfall (mm)","0.5"
"09/10/2025 06:20","Rainfall (mm)","0.5"
"18/11/2024 02:20","Rainfall (mm)","0.4"
"18/11/2024 04:30","Rainfall (mm)","0.4"
"18/11/2024 04:40","Rainfall (mm)","0.4"
"18/11/2024 11:20","Rainfall (mm)","0.4"
"18/11/2024 18:20","Rainfall (mm)","0.4"
"18/11/2024 18:40","Rainfall (mm)","0.4"
"18/11/2024 19:20","Rainfall (mm)","0.4"
"18/11/2024 21:30","Rainfall (mm)","0.4"
"19/11/2024 07:00","Rainfall (mm)","0.4"
"20/11/2024 16:00","Rainfall (mm)","0.4"
"25/11/2024 01:20","Rainfall (mm)","0.4"
"25/11/2024 01:50","Rainfall (mm)","0.4"
"27/11/2024 17:40","Rainfall (mm)","0.4"
"05/12/2024 03:30","Rainfall (mm)","0.4"
"21/12/2024 21:30","Rainfall (mm)","0.4"
"22/12/2024 04:20","Rainfall (mm)","0.4"
"22/12/2024 04:30","Rainfall (mm)","0.4"
"22/12/2024 05:40","Rainfall (mm)","0.4"
"22/12/2024 13:30","Rainfall (mm)","0.4"
"22/12/2024 13:40","Rainfall (mm)","0.4"
"22/12/2024 13:50","Rainfall (mm)","0.4"
"22/12/2024 14:30","Rainfall (mm)","0.4"
"27/12/2024 14:00","Rainfall (mm)","0.4"
"27/12/2024 23:00","Rainfall (mm)","0.4"
"28/12/2024 04:50","Rainfall (mm)","0.4"
"28/12/2024 05:20","Rainfall (mm)","0.4"
"28/12/2024 12:20","Rainfall (mm)","0.4"
"28/12/2024 15:30","Rainfall (mm)","0.4"
"28/12/2024 15:50","Rainfall (mm)","0.4"
"29/12/2024 06:50","Rainfall (mm)","0.4"
"29/12/2024 17:40","Rainfall (mm)","0.4"
"29/12/2024 19:50","Rainfall (mm)","0.4"
"29/12/2024 22:10","Rainfall (mm)","0.4"
"29/12/2024 22:20","Rainfall (mm)","0.4"
"30/12/2024 03:30","Rainfall (mm)","0.4"
"30/12/2024 04:00","Rainfall (mm)","0.4"
"30/12/2024 04:20","Rainfall (mm)","0.4"
"30/12/2024 13:30","Rainfall (mm)","0.4"
"30/12/2024 13:40","Rainfall (mm)","0.4"
"30/12/2024 14:20","Rainfall (mm)","0.4"
"30/12/2024 19:20","Rainfall (mm)","0.4"
"30/12/2024 20:20","Rainfall (mm)","0.4"
"31/12/2024 06:10","Rainfall (mm)","0.4"
"31/12/2024 06:40","Rainfall (mm)","0.4"
"31/12/2024 10:10","Rainfall (mm)","0.4"
"06/02/2025 04:40","Rainfall (mm)","0.4"
"06/02/2025 04:50","Rainfall (mm)","0.4"
"06/02/2025 09:10","Rainfall (mm)","0.4"
"12/02/2025 13:40","Rainfall (mm)","0.4"
"12/02/2025 14:20","Rainfall (mm)","0.4"
"12/02/2025 22:40","Rainfall (mm)","0.4"
"13/02/2025 07:20","Rainfall (mm)","0.4"
"20/02/2025 05:20","Rainfall (mm)","0.4"
"20/02/2025 06:20","Rainfall (mm)","0.4"
"20/02/2025 09:00","Rainfall (mm)","0.4"
"20/02/2025 09:10","Rainfall (mm)","0.4"
"07/03/2025 09:20","Rainfall (mm)","0.4"
"07/03/2025 10:10","Rainfall (mm)","0.4"
"07/03/2025 10:30","Rainfall (mm)","0.4"
"07/03/2025 10:40","Rainfall (mm)","0.4"
"07/03/2025 11:50","Rainfall (mm)","0.4"
"07/03/2025 13:50","Rainfall (mm)","0.4"
"07/03/2025 14:50","Rainfall (mm)","0.4"
"19/03/2025 18:20","Rainfall (mm)","0.4"
"20/03/2025 01:10","Rainfall (mm)","0.4"
"14/04/2025 19:30","Rainfall (mm)","0.4"
"25/09/2025 05:40","Rainfall (mm)","0.4"
"01/11/2024 03:50","Rainfall (mm)","0.3"
"01/11/2024 04:10","Rainfall (mm)","0.3"
"02/11/2024 04:00","Rainfall (mm)","0.3"
"03/11/2024 11:10","Rainfall (mm)","0.3"
"18/11/2024 11:00","Rainfall (mm)","0.3"
"18/11/2024 13:40","Rainfall (mm)","0.3"
"18/11/2024 18:30","Rainfall (mm)","0.3"
"19/11/2024 07:20","Rainfall (mm)","0.3"
"19/11/2024 07:40","Rainfall (mm)","0.3"
"19/11/2024 09:30","Rainfall (mm)","0.3"
"19/11/2024 10:20","Rainfall (mm)","0.3"
"25/11/2024 03:20","Rainfall (mm)","0.3"
"25/11/2024 22:40","Rainfall (mm)","0.3"
"27/11/2024 17:10","Rainfall (mm)","0.3"
"27/11/2024 17:50","Rainfall (mm)","0.3"
"21/12/2024 21:40","Rainfall (mm)","0.3"
"22/12/2024 13:00","Rainfall (mm)","0.3"
"22/12/2024 13:10","Rainfall (mm)","0.3"
"22/12/2024 15:10","Rainfall (mm)","0.3"
"24/12/2024 06:20","Rainfall (mm)","0.3"
"24/12/2024 06:30","Rainfall (mm)","0.3"
"24/12/2024 06:50","Rainfall (mm)","0.3"
"27/12/2024 10:20","Rainfall (mm)","0.3"
"27/12/2024 10:30","Rainfall (mm)","0.3"
"27/12/2024 12:00","Rainfall (mm)","0.3"
"27/12/2024 12:30","Rainfall (mm)","0.3"
"27/12/2024 12:50","Rainfall (mm)","0.3"
"27/12/2024 22:20","Rainfall (mm)","0.3"
"28/12/2024 00:00","Rainfall (mm)","0.3"
"28/12/2024 03:20","Rainfall (mm)","0.3"
"28/12/2024 09:40","Rainfall (mm)","0.3"
"28/12/2024 11:10","Rainfall (mm)","0.3"
"29/12/2024 06:40","Rainfall (mm)","0.3"
"29/12/2024 17:10","Rainfall (mm)","0.3"
"29/12/2024 20:00","Rainfall (mm)","0.3"
"29/12/2024 21:20","Rainfall (mm)","0.3"
"29/12/2024 23:20","Rainfall (mm)","0.3"
"29/12/2024 23:30","Rainfall (mm)","0.3"
"29/12/2024 23:40","Rainfall (mm)","0.3"
"30/12/2024 04:10","Rainfall (mm)","0.3"
"30/12/2024 13:20","Rainfall (mm)","0.3"
"30/12/2024 18:00","Rainfall (mm)","0.3"
"30/12/2024 19:10","Rainfall (mm)","0.3"
"31/12/2024 01:00","Rainfall (mm)","0.3"
"31/12/2024 03:10","Rainfall (mm)","0.3"
"31/12/2024 03:20","Rainfall (mm)","0.3"
"31/12/2024 05:30","Rainfall (mm)","0.3"
"31/12/2024 08:30","Rainfall (mm)","0.3"
"31/12/2024 10:00","Rainfall (mm)","0.3"
"05/02/2025 15:50","Rainfall (mm)","0.3"
"05/02/2025 17:50","Rainfall (mm)","0.3"
"05/02/2025 18:20","Rainfall (mm)","0.3"
"05/02/2025 18:30","Rainfall (mm)","0.3"
"05/02/2025 20:30","Rainfall (mm)","0.3"
"05/02/2025 20:40","Rainfall (mm)","0.3"
"05/02/2025 21:00","Rainfall (mm)","0.3"
"05/02/2025 22:10","Rainfall (mm)","0.3"
"06/02/2025 00:10","Rainfall (mm)","0.3"
"06/02/2025 00:40","Rainfall (mm)","0.3"
"06/02/2025 04:30","Rainfall (mm)","0.3"
"06/02/2025 05:00","Rainfall (mm)","0.3"
"06/02/2025 05:10","Rainfall (mm)","0.3"
"09/02/2025 21:30","Rainfall (mm)","0.3"
"09/02/2025 21:40","Rainfall (mm)","0.3"
"10/02/2025 11:40","Rainfall (mm)","0.3"
"12/02/2025 10:00","Rainfall (mm)","0.3"
"12/02/2025 11:10","Rainfall (mm)","0.3"
"12/02/2025 14:10","Rainfall (mm)","0.3"
"12/02/2025 18:20","Rainfall (mm)","0.3"
"13/02/2025 00:40","Rainfall (mm)","0.3"
"13/02/2025 06:30","Rainfall (mm)","0.3"
"13/02/2025 06:40","Rainfall (mm)","0.3"
"13/02/2025 10:50","Rainfall (mm)","0.3"
"13/02/2025 13:10","Rainfall (mm)","0.3"
"20/02/2025 14:50","Rainfall (mm)","0.3"
"20/02/2025 21:20","Rainfall (mm)","0.3"
"07/03/2025 10:20","Rainfall (mm)","0.3"
"07/03/2025 13:40","Rainfall (mm)","0.3"
"07/03/2025 14:20","Rainfall (mm)","0.3"
"07/03/2025 14:40","Rainfall (mm)","0.3"
"07/03/2025 16:00","Rainfall (mm)","0.3"
"07/03/2025 17:50","Rainfall (mm)","0.3"
"07/03/2025 18:30","Rainfall (mm)","0.3"
"19/03/2025 18:50","Rainfall (mm)","0.3"
"20/03/2025 04:30","Rainfall (mm)","0.3"
"20/03/2025 08:00","Rainfall (mm)","0.3"
"20/03/2025 10:40","Rainfall (mm)","0.3"
"20/03/2025 12:20","Rainfall (mm)","0.3"
"20/03/2025 13:40","Rainfall (mm)","0.3"
"21/03/2025 02:30","Rainfall (mm)","0.3"
"21/03/2025 03:30","Rainfall (mm)","0.3"
"12/04/2025 00:20","Rainfall (mm)","0.3"
"13/04/2025 12:10","Rainfall (mm)","0.3"
"01/11/2024 04:40","Rainfall (mm)","0.2"
"01/11/2024 05:00","Rainfall (mm)","0.2"
"04/11/2024 02:00","Rainfall (mm)","0.2"
"18/11/2024 01:20","Rainfall (mm)","0.2"
"18/11/2024 04:20","Rainfall (mm)","0.2"
"18/11/2024 05:40","Rainfall (mm)","0.2"
"18/11/2024 11:50","Rainfall (mm)","0.2"
"18/11/2024 13:50","Rainfall (mm)","0.2"
"18/11/2024 20:00","Rainfall (mm)","0.2"
"18/11/2024 21:20","Rainfall (mm)","0.2"
"18/11/2024 22:10","Rainfall (mm)","0.2"
"19/11/2024 04:20","Rainfall (mm)","0.2"
"19/11/2024 04:30","Rainfall (mm)","0.2"
"19/11/2024 05:40","Rainfall (mm)","0.2"
"19/11/2024 07:10","Rainfall (mm)","0.2"
"19/11/2024 07:30","Rainfall (mm)","0.2"
"19/11/2024 09:50","Rainfall (mm)","0.2"
"20/11/2024 06:20","Rainfall (mm)","0.2"
"20/11/2024 16:20","Rainfall (mm)","0.2"
"25/11/2024 01:30","Rainfall (mm)","0.2"
"25/11/2024 02:00","Rainfall (mm)","0.2"
"25/11/2024 02:30","Rainfall (mm)","0.2"
"25/11/2024 02:40","Rainfall (mm)","0.2"
"25/11/2024 03:10","Rainfall (mm)","0.2"
"25/11/2024 04:40","Rainfall (mm)","0.2"
"25/11/2024 04:50","Rainfall (mm)","0.2"
"25/11/2024 22:50","Rainfall (mm)","0.2"
"27/11/2024 16:40","Rainfall (mm)","0.2"
"27/11/2024 18:00","Rainfall (mm)","0.2"
"22/12/2024 03:00","Rainfall (mm)","0.2"
"22/12/2024 03:30","Rainfall (mm)","0.2"
"22/12/2024 03:40","Rainfall (mm)","0.2"
"22/12/2024 15:00","Rainfall (mm)","0.2"
"24/12/2024 06:40","Rainfall (mm)","0.2"
"27/12/2024 10:40","Rainfall (mm)","0.2"
"27/12/2024 11:50","Rainfall (mm)","0.2"
"27/12/2024 12:10","Rainfall (mm)","0.2"
"27/12/2024 12:40","Rainfall (mm)","0.2"
"27/12/2024 21:40","Rainfall (mm)","0.2"
"27/12/2024 22:50","Rainfall (mm)","0.2"
"27/12/2024 23:20","Rainfall (mm)","0.2"
"28/12/2024 00:40","Rainfall (mm)","0.2"
"28/12/2024 02:10","Rainfall (mm)","0.2"
"28/12/2024 05:10","Rainfall (mm)","0.2"
"28/12/2024 05:50","Rainfall (mm)","0.2"
"28/12/2024 07:10","Rainfall (mm)","0.2"
"28/12/2024 08:10","Rainfall (mm)","0.2"
"28/12/2024 09:50","Rainfall (mm)","0.2"
"28/12/2024 14:40","Rainfall (mm)","0.2"
"28/12/2024 14:50","Rainfall (mm)","0.2"
"28/12/2024 15:10","Rainfall (mm)","0.2"
"28/12/2024 16:00","Rainfall (mm)","0.2"
"28/12/2024 16:20","Rainfall (mm)","0.2"
"29/12/2024 06:00","Rainfall (mm)","0.2"
"29/12/2024 12:40","Rainfall (mm)","0.2"
"29/12/2024 16:10","Rainfall (mm)","0.2"
"29/12/2024 17:50","Rainfall (mm)","0.2"
"30/12/2024 01:40","Rainfall (mm)","0.2"
"30/12/2024 02:10","Rainfall (mm)","0.2"
"30/12/2024 12:30","Rainfall (mm)","0.2"
"30/12/2024 14:30","Rainfall (mm)","0.2"
"30/12/2024 14:40","Rainfall (mm)","0.2"
"30/12/2024 17:50","Rainfall (mm)","0.2"
"30/12/2024 18:40","Rainfall (mm)","0.2"
"30/12/2024 18:50","Rainfall (mm)","0.2"
"30/12/2024 19:40","Rainfall (mm)","0.2"
"31/12/2024 01:50","Rainfall (mm)","0.2"
"31/12/2024 02:30","Rainfall (mm)","0.2"
"31/12/2024 04:40","Rainfall (mm)","0.2"
"31/12/2024 07:50","Rainfall (mm)","0.2"
"31/12/2024 08:10","Rainfall (mm)","0.2"
"31/12/2024 08:40","Rainfall (mm)","0.2"
"23/01/2025 12:50","Rainfall (mm)","0.2"
"31/01/2025 20:30","Rainfall (mm)","0.2"
"05/02/2025 16:30","Rainfall (mm)","0.2"
"05/02/2025 19:10","Rainfall (mm)","0.2"
"05/02/2025 22:50","Rainfall (mm)","0.2"
"06/02/2025 01:50","Rainfall (mm)","0.2"
"06/02/2025 09:30","Rainfall (mm)","0.2"
"06/02/2025 10:30","Rainfall (mm)","0.2"
"06/02/2025 16:30","Rainfall (mm)","0.2"
"06/02/2025 16:40","Rainfall (mm)","0.2"
"07/02/2025 10:40","Rainfall (mm)","0.2"
"07/02/2025 18:10","Rainfall (mm)","0.2"
"09/02/2025 20:10","Rainfall (mm)","0.2"
"09/02/2025 21:50","Rainfall (mm)","0.2"
"10/02/2025 07:20","Rainfall (mm)","0.2"
"10/02/2025 10:30","Rainfall (mm)","0.2"
"12/02/2025 13:50","Rainfall (mm)","0.2"
"12/02/2025 16:20","Rainfall (mm)","0.2"
"12/02/2025 20:00","Rainfall (mm)","0.2"
"12/02/2025 20:20","Rainfall (mm)","0.2"
"12/02/2025 23:30","Rainfall (mm)","0.2"
"13/02/2025 06:20","Rainfall (mm)","0.2"
"13/02/2025 07:10","Rainfall (mm)","0.2"
"13/02/2025 13:00","Rainfall (mm)","0.2"
"19/02/2025 17:20","Rainfall (mm)","0.2"
"20/02/2025 02:50","Rainfall (mm)","0.2"
"20/02/2025 07:10","Rainfall (mm)","0.2"
"20/02/2025 09:30","Rainfall (mm)","0.2"
"20/02/2025 21:30","Rainfall (mm)","0.2"
"22/02/2025 21:40","Rainfall (mm)","0.2"
"22/02/2025 21:50","Rainfall (mm)","0.2"
"22/02/2025 23:00","Rainfall (mm)","0.2"
"07/03/2025 08:50","Rainfall (mm)","0.2"
"07/03/2025 09:10","Rainfall (mm)","0.2"
"07/03/2025 11:40","Rainfall (mm)","0.2"
"07/03/2025 12:00","Rainfall (mm)","0.2"
"07/03/2025 13:30","Rainfall (mm)","0.2"
"07/03/2025 14:00","Rainfall (mm)","0.2"
"07/03/2025 14:10","Rainfall (mm)","0.2"
"07/03/2025 14:30","Rainfall (mm)","0.2"
"07/03/2025 15:00","Rainfall (mm)","0.2"
"07/03/2025 15:30","Rainfall (mm)","0.2"
"07/03/2025 15:50","Rainfall (mm)","0.2"
"07/03/2025 17:10","Rainfall (mm)","0.2"
"07/03/2025 18:00","Rainfall (mm)","0.2"
"07/03/2025 18:40","Rainfall (mm)","0.2"
"07/03/2025 18:50","Rainfall (mm)","0.2"
"19/03/2025 19:00","Rainfall (mm)","0.2"
"19/03/2025 19:10","Rainfall (mm)","0.2"
"20/03/2025 02:00","Rainfall (mm)","0.2"
"20/03/2025 05:10","Rainfall (mm)","0.2"
"20/03/2025 07:00","Rainfall (mm)","0.2"
"20/03/2025 08:40","Rainfall (mm)","0.2"
"21/03/2025 00:20","Rainfall (mm)","0.2"
"21/03/2025 02:50","Rainfall (mm)","0.2"
"21/03/2025 03:10","Rainfall (mm)","0.2"
"21/03/2025 03:20","Rainfall (mm)","0.2"
"21/03/2025 03:40","Rainfall (mm)","0.2"
"21/03/2025 03:50","Rainfall (mm)","0.2"
"21/03/2025 04:00","Rainfall (mm)","0.2"
"21/03/2025 07:40","Rainfall (mm)","0.2"
"10/04/2025 04:20","Rainfall (mm)","0.2"
"11/04/2025 21:30","Rainfall (mm)","0.2"
"12/04/2025 00:00","Rainfall (mm)","0.2"
"12/04/2025 01:40","Rainfall (mm)","0.2"
"12/04/2025 03:00","Rainfall (mm)","0.2"
"12/04/2025 06:20","Rainfall (mm)","0.2"
"14/04/2025 21:50","Rainfall (mm)","0.2"
"13/05/2025 13:30","Rainfall (mm)","0.2"
"09/10/2025 10:10","Rainfall (mm)","0.2"
"01/11/2024 03:30","Rainfall (mm)","0.1"
"01/11/2024 05:10","Rainfall (mm)","0.1"
"01/11/2024 05:50","Rainfall (mm)","0.1"
"01/11/2024 06:00","Rainfall (mm)","0.1"
"03/11/2024 10:50","Rainfall (mm)","0.1"
"03/11/2024 11:20","Rainfall (mm)","0.1"
"04/11/2024 02:20","Rainfall (mm)","0.1"
"04/11/2024 03:00","Rainfall (mm)","0.1"
"18/11/2024 00:50","Rainfall (mm)","0.1"
